id,geometry_name,id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,longitude,latitude
emel_gira_stations.52,geom,235,235,235 - Rua da Junqueira / Rua Pinto Ferreira,A,3,16,0.19,active,2025-02-14T18:11:17Z,"[-9.191793, 38.697907, -9.191793, 38.697907]",-9.191793,38.697907
emel_gira_stations.20,geom,315,315,315 - Rua Passos Manuel/ Jardim Constantino,A,6,20,0.3,active,2025-02-14T18:11:07Z,"[-9.136968, 38.731264, -9.136968, 38.731264]",-9.136968,38.731264
emel_gira_stations.58,geom,520,520,520 - Lispolis,A,6,23,0.26,active,2025-02-14T18:11:16Z,"[-9.182513, 38.766995, -9.182513, 38.766995]",-9.182513,38.766995
emel_gira_stations.72,geom,241,241,241 - Rua Bartolomeu Dias / Palácio do Governador,A,3,11,0.27,active,2025-02-14T18:11:22Z,"[-9.214902, 38.694942, -9.214902, 38.694942]",-9.214902,38.694942
emel_gira_stations.184,geom,450,450,450 - Rua Alfredo Cortês,A,4,15,0.27,active,2025-02-14T18:11:25Z,"[-9.143854, 38.746268, -9.143854, 38.746268]",-9.143854,38.746268
emel_gira_stations.62,geom,435,435,435 - Interface de Sete Rios,A,11,43,0.26,active,2025-02-14T18:11:19Z,"[-9.166955, 38.740579, -9.166955, 38.740579]",-9.166955,38.740579
emel_gira_stations.63,geom,209,209,209 - Ribeira das Naus,A,13,27,0.48,active,2025-02-14T18:11:19Z,"[-9.141466, 38.705954, -9.141466, 38.705954]",-9.141466,38.705954
emel_gira_stations.70,geom,511,511,511 - Avenida do Uruguai,A,15,27,0.56,active,2025-02-14T18:11:22Z,"[-9.196294, 38.753789, -9.196294, 38.753789]",-9.196294,38.753789
emel_gira_stations.71,geom,281,281,281 - HUB Criativo do Beato Nascente,A,11,26,0.42,active,2025-02-14T18:11:22Z,"[-9.105308, 38.731578, -9.105308, 38.731578]",-9.105308,38.731578
emel_gira_stations.75,geom,503,503,503 - Rua Conde de Almoster / Rua Carlos Pereira,A,7,12,0.58,active,2025-02-14T18:11:24Z,"[-9.178764, 38.74266, -9.178764, 38.74266]",-9.178764,38.74266
emel_gira_stations.158,geom,105,105,105 - CC Vasco da Gama,A,7,40,0.18,active,2025-02-14T18:10:29Z,"[-9.096222, 38.768548, -9.096222, 38.768548]",-9.096222,38.768548
emel_gira_stations.160,geom,102,102,102 - Porta do Mar,B,4,14,0.29,active,2025-02-14T18:10:29Z,"[-9.096439, 38.759156, -9.096439, 38.759156]",-9.096439,38.759156
emel_gira_stations.162,geom,106,106,106 - Jardim Garcia da Orta,B,4,14,0.29,active,2025-02-14T18:10:30Z,"[-9.092506, 38.769459, -9.092506, 38.769459]",-9.092506,38.769459
emel_gira_stations.157,geom,104,104,104 - Gare do Oriente,A,10,40,0.25,active,2025-02-14T18:10:28Z,"[-9.097322, 38.766716, -9.097322, 38.766716]",-9.097322,38.766716
emel_gira_stations.163,geom,107,107,107 - Rotunda dos Vice-Reis,B,8,14,0.57,active,2025-02-14T18:10:30Z,"[-9.095416, 38.774505, -9.095416, 38.774505]",-9.095416,38.774505
emel_gira_stations.159,geom,101,101,101 - Alameda dos Oceanos / Rua dos Argonautas,A,4,16,0.25,active,2025-02-14T18:10:29Z,"[-9.096804, 38.756161, -9.096804, 38.756161]",-9.096804,38.756161
